Product,Page,Title,Rating,Date,Review
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","Superbe écran.Superb screen.","","Reviewed in France on 9 November 2024","Acheté pour remplacer un 27 pouces , ce 34 pouces incurvé est excellent. En résolution maximale, la finesse et la propreté de l'image sous windows et sur internet sont excellentes. Les videos 4k sont magnifiques.Bought to replace a 27 inch, this 34 inch curved one is great. At maximum resolution, the sharpness and cleanliness of the image under Windows and on the Internet are excellent. The 4k videos are beautiful."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","ÇOK İYİVERY GOOD","","Reviewed in Turkey on 14 November 2024","BEKLEDİĞİMDEN DAHA İYİ Bİ KALİTEDE VE BOYUTUNDAN DOLAYI İŞE ODAKLANMAK GAYET KOLAY OLUYOR. ÇEVREYLE İLİŞKİYİ KOMPLE KESMYE BAYA YARDIMCI ARADIĞIM ŞEYDİ BU ÜRÜNWITH BETTER QUALITY AND SIZE THAN I EXPECTED, IT'S EASY TO FOCUS ON WORK. THIS PRODUCT WAS WHAT I WAS LOOKING FOR TO HELP COMPLETELY CUT THE RELATIONSHIP WITH THE ENVIRONMENT"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","ConformeCompliant","","Reviewed in Belgium on 22 December 2024","Conforme à la descriptionConsistent with the description"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","Muy buenoVery good","","Reviewed in Spain on 14 December 2024","Está muy bien calidad precioIt's very good value for money"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","Topscherm","","Reviewed in Belgium on 21 December 2024","Top"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","super écran "" attention pas de vis pour la fixation du pied""Great screen “Attention no screws to fix the foot”","","Reviewed in France on 1 December 2024","cette écran remplace mon écran de portable qualité super. j' ai mi quatre étoile car il n avais les vis pour fixer le pied.This screen replaces my laptop screen super quality. I gave four stars because it did not have the screws to fix the foot."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","Buen monitor con sonido lamentableGood monitor with regrettable sound","","Reviewed in Spain on 3 April 2024","Creo que el titulo lo dice todo.El monitor es cómodo, confortable, con buena resolución, buena tasa de refresco, velocidad y color.El sonido es sencillamente LAMENTABLE.Vengo de un LG también ultawide, y si bien el sonido no era de HiFi, era infinitamente mejor.Le pongo solo 4 estrellas por esto, porque para esa castaña de sonido, podían haberse ahorrado los altavoces.Lo que he hecho ha sido usar la salida de auriculares del propio monitor para conectar una barra de sonido de Trust, baratita, y la diferencia es como de la noche al día.Por lo demás el monitor vale la pena.I think the title says it all. The monitor is comfortable, comfortable, with good resolution, good refresh rate, speed and color. The sound is simply REGRETTABLE. I also come from an LG ultawide, and although the sound wasn't HiFi, it was infinitely better. I give it only 4 stars for this, because for that chestnut of sound, the speakers could have been saved. What I did was use the headphone output of the monitor itself to connect a cheap Trust soundbar, and the difference is like from night to day. Otherwise the monitor is worth it."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","Bonne image mais ne comptais pas sur le sonGood picture but didn't rely on sound","","Reviewed in Belgium on 6 February 2024","Exactement ce que je voulais, superbe image mais son médiocre.Exactly what I wanted, great picture but poor sound."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","Excellent EcranExcellent screen","","Reviewed in France on 9 November 2024","Wahou !Wow!"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","2","good PRODUCT","","Reviewed in Belgium on 30 June 2024","perfect"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","ottimo prodottogreat product","","Reviewed in Italy on 3 October 2024","ottimo prodottogreat product"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","Genial una pantalla de alta resolución y barataGreat, a high resolution and cheap screen","","Reviewed in Spain on 25 September 2024","La recibí hace tres días y en Amazón figura como no entregada.I received it three days ago and it appears on Amazon as not delivered."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","PerfectaPerfecta","","Reviewed in Spain on 27 November 2024","La hemos comprado para un escritorio bastante largo, para poder trabajar en una sola pantalla con dos cosas a la vez, porque nos resulta incómodo tener dos pantallas. En mi MacBook Air 2024 M3 no conecta, dice que no lo soporta, pero en un HP gaming y en un sobremesa sí conecta sin problemas. Al principio es un poco mareante para quien no está acostumbrado a una pantalla tan larga y curva, pero después perfecto.We bought it for a fairly long desk, to be able to work on a single screen with two things at once, because it's uncomfortable for us to have two screens. On my MacBook Air 2024 M3 it doesn't connect, it says it doesn't support it, but on an HP gaming and a desktop it does connect without problems. At first it's a bit dizzy for those who aren't used to such a long and curved screen, but then perfect."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","pc msiPcs MSI","","Reviewed in Italy on 17 November 2024","tutto okEverything OK"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","DU 2 en 1DU 2 in 1","","Reviewed in France on 28 November 2024","Vraiment top .👌Really great. 👌"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","Excelente","","Reviewed in Spain on 3 November 2024","Excelente"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","Ecrã interessante e equilibradoInteresting and balanced screen","","Reviewed in Spain on 1 October 2024","O ecrã, nas condições em que está a ser usado revela-se equilibrado e funcional.As colunas embutidas são relativamente fracas, mas não são o foco deste produto.A imagem tem qualidade adequada.The screen, under the conditions in which it is being used, proves to be balanced and functional. The built-in columns are relatively weak, but they're not the focus of this product. The image has adequate quality."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","Mejor de lo esperado,excepto el sonidoBetter than expected, except for the sound","","Reviewed in Spain on 16 September 2024","Pro: todo menos el sonido que al usar barra de sonido me da igual.Contra: el sonido es casi mejor que no hubiera , incluso así al precio que lo compré un verdadero placer en un minuto ya estaba acostumbrado a la imagenPro: everything but the sound that doesn't matter to me when using a soundbar. Cons: the sound is almost better than there wasn't, even so at the price I bought it a real pleasure in a minute I was already used to the image"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","Servizio buono, ma Consegna Lieve RitardoGood service, but Slight Delay Delivery","","Reviewed in Italy on 20 July 2024","Desidero esprimere la mia soddisfazione per il servizio del venditore, che ha prontamente sostituito il monitor difettoso e ha coperto le spese di spedizione. È importante comprendere che situazioni come queste possono verificarsi, e la gestione del problema è stata impeccabile. Il monitor corrisponde esattamente alle specifiche tecniche indicate ed è particolarmente adatto per chi necessita di un dispositivo performante per il multitasking e per sessioni prolungate di utilizzo. Tuttavia, do tre stelle perché la consegna è avvenuta con un giorno di ritardo rispetto alla data prevista, un aspetto che potrebbe essere migliorato.I would like to express my satisfaction with the seller's service, who promptly replaced the faulty monitor and covered the shipping costs. It's important to understand that situations like these can occur, and the handling of the issue has been impeccable. The monitor corresponds exactly to the technical specifications indicated and is particularly suitable for those who need a high-performance device for multitasking and for extended sessions of use. However, I give three stars because the delivery was one day late compared to the scheduled date, an aspect that could be improved."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","3","Vale al penaIt's worth it","","Reviewed in Italy on 24 January 2024","E la mia prima esperienza con un monitor curvo e devo ammettere che non tornerò più al monitor tradizionale. Detto questo il prodotto sembra buono , per i colori ho dovuto smanettare un pochino con i settaggi del pc ma questo dipende sempre  dalla scheda video installata e dal gusto personale. Peccato che non abbia delle regolazioni del colore proprie e i pulsanti messi dietro lo schermo sono abbastanza scomodi. Preferisco i comandi classici messi sul frontale.This is my first experience with a curved monitor and I must admit that I will never go back to the traditional monitor. Having said that, the product looks good, for the colors I had to fiddle a little with the PC settings but this always depends on the video card installed and on personal taste. Too bad it doesn't have its own color adjustments and the buttons placed behind the screen are quite uncomfortable. I prefer the classic controls placed on the front."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","Image de qualité, et écran largeHigh-quality picture, and large screen","","Reviewed in France on 23 May 2024","Cet écran 21:9 en vaudrait presque 2 à lui seul !Sa largeur offre une surface de travail équivalente à celle de deux écrans en un seul, sans la moindre séparation au milieu. Cela rend le multitâche beaucoup plus fluide et agréable.Cet écran répond parfaitement à mes attentes.La qualité d'image est également très bonne, avec des couleurs vives et des détails nets.That 21:9 screen alone would be worth almost 2! Its width offers a work surface equivalent to that of two screens in one, without any separation in the middle. It makes multitasking a lot smoother and more enjoyable. This screen perfectly meets my expectations. The picture quality is also very good, with bright colors and sharp details."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","Top levelTop Level","","Reviewed in Spain on 24 August 2024","Con esta pantalla valoras trabajar en el ordenador. Lo tiene todo!!With this screen you value working on the computer. It has everything!!"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","Buen monitor. Mala experienciaGood monitor. Bad experience","","Reviewed in Spain on 5 August 2023","Sobre el monitor, es un 10 para trabajar. Lo de la mala experiencia es debido a que al mes de estar utilizándolo dejó de dar imagen. Se encendía, reconocía que estaba conectado, pero no emitía ninguna imagen. Ni siquiera la del menú de opciones. Tras discutirlo con el vendedor y con Amazon, pude devolverlo. Salvo por este incidente, es muy buen monitor. Puedes configurar la imagen a tu gusto. Viene con un programa para trabajar con pantalla dividida, pero es mejor usar PowertToys que da muchas más opciones en Windows.On the monitor, it's a 10 to work with. The bad experience is because a month after using it, it stopped giving an image. It would turn on, recognize that it was connected, but it wouldn't emit any images. Not even the one in the options menu. After discussing it with the seller and with Amazon, I was able to return it. Except for this incident, it's a very good monitor. You can configure the image to your liking. It comes with a program for working with split screen, but it's better to use PowerTToys, which gives much more options in Windows."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","ottimo rapporto qualità/prezzoexcellent quality/price ratio","","Reviewed in Italy on 8 May 2023","Monitor tutto fare, che così come non eccelle in nessun aspetto, non delude neanche sotto nessun di questi.Per il prezzo di acquisto che ha, offre una generale qualità su vari applicativi, dall'uso office/scuola all'uso gaming.Se ci si aspetta un monitor che sia in grado di eccellere in qualche settore, allora bisogna virare su altri prodotti con altri prezzi decisamente più alti.Mio figlio, il fruitore del monitor, è molto soddisfatto ed ora lamenta una migliore scheda video per sfruttare al meglio la risoluzione dello stesso. Ora è abbinato ad una ""vecchia"" RX 580 4MB che presto o tardi verrà sostituita con qualcosa di più recenteAll-in-one monitor, which just as it does not excel in any aspect, does not disappoint even under any of these. For the purchase price it has, it offers general quality on various applications, from office/school use to gaming use. If you expect a monitor that will be able to excel in some sector, then you have to focus on other products with other, much higher prices. My son, the user of the monitor, is very satisfied and now complains of a better video card to make the most of the resolution of the monitor. Now it is combined with an “old” RX 580 4MB that will sooner or later be replaced with something newer"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","Ottimo monitorGreat monitor","","Reviewed in Italy on 15 May 2024","Monitor grande, si qualità, lo uso ormai da diversi mesi e posso dire che è un ottimo prodotto qualità prezzo. ConsigliatoLarge monitor, yes quality, I have been using it for several months now and I can say that it is an excellent quality-price product. counselled"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","Por 299€ no puedo estar más que satisfechoFor 299€ I can't be more than satisfied","","Reviewed in Spain on 29 January 2024","No le daré un uso gaming. Lo usaré para teletrabajo y con un MacBook Pro. La tasa de refresco es muy buena. La calidadd de la imagen igual. No echaré de menos el formato común y es mi primer 21:9 el cual ha demostrado ser muy eficiente.I will not use it for gaming. I'll use it for teleworking and with a MacBook Pro. The refresh rate is very good. The image quality is the same. I won't miss the common format and it's my first 21:9 which has proven to be very efficient."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","Bon écran confortableGood comfortable screen","","Reviewed in France on 25 May 2024","Envoi rapide.Écran agréable à utiliser.Très pratique pour le travailFast dispatch. The screen is pleasant to use. Very convenient for work"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","Tout à fait ce qu'il me fallaitExactly what I needed","","Reviewed in France on 27 March 2024","Dimensions, connectique, qualité image : tout est au rendez-vous. Reconnu sans problème avec station d'accueil écrans multiples. Le plus : un prix très raisonnable.Dimensions, connectivity, image quality: everything is there. Recognized without problems with multi-screen docking station. The plus: a very reasonable price."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","cet écran ne fatigue pas les yeux,this screen does not strain your eyes,","","Reviewed in France on 5 January 2024","Outre la qualité de l'écran et sa définition, ce qui est frappant c'est que cet écran ne fatigue pas les yeux, même en restant de longues heures devant. Sa grande largeur est très commode quand on a à traiter des grands tableauxIn addition to the quality of the screen and its definition, what is striking is that this screen does not tire the eyes, even if you spend long hours in front of it. Its large width is very convenient when dealing with large paintings."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","4","ses kalitesi iyi değil / görüntü mük!The sound quality is not good/the picture is dull!","","Reviewed in Turkey on 27 February 2023","monitörü alırken aynı zamanda harici ufak speakerlardan kurtulurum diye düşünüyordum ama ekrana takılı ses sistemi gerçekten kötü. yorumlarda görmüştüm ama msi bu ya gerçek değildir demiştim..onun dışında ekran ayakları pek sağlam ya da devrilmesin diye esnek bilemedim. görüntü kalitesi harika, hem oyun hem de tasarım her türlü işinizi görür. ekranın geniş olması bir iki farklı ekrandan kurtarıyor. beyaz plastik zamanla sararır diye düşünerek siyah aldım :)I was thinking that I would also get rid of the external small speakers when buying the monitor, but the sound system attached to the screen is really bad. I saw it in the comments but msi I said either this is not real.. apart from that, I couldn't figure out how flexible the screen legs are so sturdy or they don't tip over. the image quality is great, both gaming and design do your job. the fact that the screen is large saves you from one or two different screens. i bought black thinking the white plastic would turn yellow over time:)"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","5","buena calidad,  preciogood quality, price","","Reviewed in Spain on 19 June 2023","muy buen monitor, la gente d msi muy detallista m  dieron unos extras gratis, eso si el sonido es lataVery good monitor, the people from MSI very detailed and gave me some free extras, that's if the sound is loud"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","5","Productividad y CalidadProductivity and Quality","","Reviewed in Spain on 8 June 2023","Mi reseña se resume en: ""ojalá haberte conocido antes""En mi caso, que teletrabajo y tengo que emplear múltiples ventanas, hasta ahora utilizaba doble pantalla, pero era un poco engorro.Ya con este pedazo de monitor se acabó, tengo todo unificado y, por supuesto, se ve a máxima calidad.De esas compras que dices, ""esto si que merece la pena"".My review can be summed up as: “I wish I had met you before”   In my case, because I work remotely and have to use multiple windows, until now I used a double screen, but it was a bit of a hassle. This piece of monitor is over now, I have everything unified and, of course, it looks at the highest quality. Of those purchases that you say, “this is really worth it”."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","5","OSD non all’altezza.OSD is not up to par.","","Reviewed in Italy on 5 February 2023","A parte il pesantissimo clouding dello schermo che lo rendono inusabile al buio (ed essendo un VA è l'unico motivo per cui l'ho comprato), il motivo principale che mi fa lasciare una stella è l'OSD che si ritrova. Ha pochissime impostazioni (tra cui la modifica dell'aspect ratio bloccata che su un 21:9 non è il massimo, portando qualsiasi segnale diverso dal succitato ad essere deformato senza possibilità di un setup ad hoc), e indicazioni dei pulsanti a schermo che non coincidono con quelli fisici, portando a sbagliare spesso e volentieri nella navigazione. È come se avessero usato l'OSD da un altro modello senza fare le dovute modifiche.Non ho neanche fatto i classici test con il calibro, per me è inutilizzabile e molto limitato dal suo OSD, ho dovuto fare necessariamente il reso.Se invece cercate un monitor da collegare senza toccare nessuna impostazione se non quella della luminosità, potete farci un pensiero.Apart from the very heavy clouding of the screen that makes it unusable in the dark (and being a VA is the only reason I bought it), the main reason that makes me leave a star is the OSD that is found. It has very few settings (including the modification of the blocked aspect ratio, which is not the best on 21:9, leading any signal other than the one mentioned above to be deformed without the possibility of an ad hoc setup), and indications of the on-screen buttons that do not coincide with the physical ones, leading to errors often and willingly in navigation. It is as if they had used the OSD from another model without making the necessary changes. I haven't even done the classic tests with the caliber, for me it's unusable and very limited by its OSD, I necessarily had to do the return. If, on the other hand, you are looking for a monitor to connect without touching any setting other than the brightness setting, you can think about it."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","5","Buena calidad de imagenGood image quality","","Reviewed in Spain on 7 April 2023","La calidad de imagen muy buena a mi juicio y la mala calidad del sonido aunque esto último para mi no es un tema relevante porque casi siempre uso auricularesThe image quality is very good in my opinion and the poor sound quality, although the latter is not a relevant topic for me because I almost always use headphones."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","5","Excelent","","Reviewed in Spain on 12 December 2023","Everything ok"
